iter	MAE
0	5.028023154
1	4.876473518
2	4.730904748
3	4.592774759
4	4.462775627
5	4.337299371
6	4.217802437
7	4.103964109
8	3.995176772
9	3.891988658
10	3.793247185
11	3.7002038
12	3.611399041
13	3.526979372
14	3.447474778
15	3.371339216
16	3.29831157
17	3.229698135
18	3.164391328
19	3.102146792
20	3.0431364
21	2.986933841
22	2.933674906
23	2.882648512
24	2.834379742
25	2.788602956
26	2.745359985
27	2.704404605
28	2.665835573
29	2.628931738
30	2.593763846
31	2.560616947
32	2.529347896
33	2.500072683
34	2.472103474
35	2.445835554
36	2.420935801
37	2.397497519
38	2.375656451
39	2.35547754
40	2.336036063
41	2.317799464
42	2.300613655
43	2.28448186
44	2.269394859
45	2.255176544
46	2.241832485
47	2.229548462
48	2.217871885
49	2.207175815
50	2.197258433
51	2.187984839
52	2.179254998
53	2.171083549
54	2.163616727
55	2.156561558
56	2.150093553
57	2.144079528
58	2.139013416
59	2.13386837
60	2.129544217
61	2.125448655
62	2.121469066
63	2.117570073
64	2.114152357
65	2.110844198
66	2.107777364
67	2.104924956
68	2.102345593
69	2.100304304
70	2.09816529
71	2.09610512
72	2.094267614
73	2.09279912
74	2.091228594
75	2.089929295
76	2.088804619
77	2.087477268
78	2.086304714
79	2.085203984
80	2.084405228
81	2.083644141
82	2.082674162
83	2.082028941
84	2.081318455
85	2.080709487
86	2.080124552
87	2.079686741
88	2.078960073
89	2.078644833
90	2.077864111
91	2.077424539
92	2.076892102
93	2.076517494
94	2.076341819
95	2.075995759
96	2.07568117
97	2.075472611
98	2.075211844
99	2.074833567
100	2.074489074
101	2.074262881
102	2.074074497
103	2.07382494
104	2.073718739
105	2.073466142
106	2.073026711
107	2.072839382
108	2.072613144
109	2.072401772
110	2.072216853
111	2.072103502
112	2.072007059
113	2.071839554
114	2.071608029
115	2.071481155
116	2.071330194
117	2.071065922
118	2.070805008
119	2.070684417
120	2.070548967
121	2.070443043
122	2.070380977
123	2.070349128
124	2.070197918
125	2.070088535
126	2.069946087
127	2.069726562
128	2.069703098
129	2.069627108
130	2.069489231
131	2.069341994
132	2.069179005
133	2.068992312
134	2.068871152
135	2.068775264
136	2.068697216
137	2.06860553
138	2.068365581
139	2.068246773
140	2.067814829
141	2.067758448
142	2.06741082
143	2.067159991
144	2.066767428
145	2.066751977
146	2.066663177
147	2.066426013
148	2.066210932
149	2.066101177
150	2.065973887
151	2.065442103
152	2.065412155
153	2.065199286
154	2.065096501
155	2.065009508
156	2.0646858
157	2.064236462
158	2.063372292
159	2.063341075
160	2.063276885
161	2.063252432
162	2.06205736
163	2.061974607
164	2.061953662
165	2.061936697
166	2.06179421
167	2.061693215
168	2.061656506
169	2.061646261
170	2.061592895
171	2.061579211
172	2.061477926
173	2.061418904
174	2.061360941
175	2.061310203
176	2.061261835
177	2.061188107
178	2.061135634
179	2.061082661
180	2.060985908
181	2.060910234
182	2.060860396
183	2.060038224
184	2.059949813
185	2.05966658
186	2.059616609
187	2.059482342
188	2.059154508
189	2.059146224
190	2.059023194
191	2.058619538
192	2.058507566
193	2.058085179
194	2.058076773
195	2.05781548
196	2.057247341
197	2.057201985
198	2.056862986
199	2.056584642
200	2.056546715
201	2.056522577
202	2.056517898
203	2.056279591
204	2.056220514
205	2.056137629
206	2.056077141
207	2.056014158
208	2.0559792
209	2.05593433
210	2.055896455
211	2.055456117
212	2.055377292
213	2.055328702
214	2.05531064
215	2.055054986
216	2.054994185
217	2.054978835
218	2.054725476
219	2.054686672
220	2.054661379
221	2.054332654
222	2.054133707
223	2.05412311
224	2.054111993
225	2.054094185
226	2.05379427
227	2.053418531
228	2.053163467
229	2.053110906
230	2.052948938
231	2.052931939
232	2.052923437
233	2.052360865
234	2.052269276
235	2.052186793
236	2.052166342
237	2.052154004
238	2.052141406
239	2.052134592
240	2.05209414
241	2.051970873
242	2.051947985
243	2.051908958
244	2.051346665
245	2.051262309
246	2.051256317
247	2.051103534
248	2.050925403
249	2.050772278
250	2.05076229
251	2.050709593
252	2.050663115
253	2.050515058
254	2.050457054
255	2.050419528
256	2.050170868
257	2.050151626
258	2.050120991
259	2.050083719
260	2.049972525
261	2.04996148
262	2.049834321
263	2.049778941
264	2.049513898
265	2.049072339
266	2.048946327
267	2.04887165
268	2.048839346
269	2.048802077
270	2.048520008
271	2.048469773
272	2.048312945
273	2.048253901
274	2.048155989
275	2.048154542
276	2.048130211
277	2.048107232
278	2.047577362
279	2.047368665
280	2.047112769
281	2.047082987
282	2.047041156
283	2.046982131
284	2.046870846
285	2.046805532
286	2.046734509
287	2.046666497
288	2.046560752
289	2.046466772
290	2.046378304
291	2.046312141
292	2.046122664
293	2.046066146
294	2.0459142
295	2.045905937
296	2.045516865
297	2.045482121
298	2.0453272
299	2.045037997
300	2.044977523
