iter	Passed	Remaining
0	1015	5076493
1	1762	4405613
2	2581	4300260
3	3401	4248844
4	4211	4207697
5	5019	4177611
6	5843	4168328
7	6627	4135488
8	7410	4109705
9	8165	4074709
10	8938	4053829
11	9653	4012680
12	10405	3991848
13	11165	3976650
14	11875	3946628
15	12567	3914781
16	13278	3892161
17	13962	3864602
18	14774	3873149
19	15488	3856624
20	16332	3872303
21	17029	3853314
22	17742	3839311
23	18540	3844117
24	19251	3831111
25	19896	3806384
26	20686	3810079
27	21400	3800138
28	22080	3784877
29	22730	3765733
30	23453	3759403
31	24241	3763497
32	24982	3760309
33	25676	3750284
34	26421	3748068
35	27127	3740619
36	27832	3733269
37	28609	3735764
38	29350	3733565
39	30056	3727035
40	30744	3718570
41	31452	3712930
42	32172	3708817
43	32949	3711312
44	33621	3702149
45	34333	3697576
46	35023	3690904
47	35764	3689668
48	36533	3691364
49	37269	3689665
50	38056	3692996
51	38851	3696842
52	39552	3691846
53	40301	3691339
54	41058	3691544
55	41796	3690006
56	42506	3686138
57	43273	3687229
58	43976	3682862
59	44646	3675901
60	45379	3674247
61	46129	3674010
62	46921	3677010
63	47692	3678308
64	48445	3678133
65	49243	3681331
66	50011	3682202
67	50782	3683238
68	51556	3684415
69	52327	3685327
70	53090	3685690
71	53897	3688975
72	54656	3688911
73	55349	3684504
74	56148	3687078
75	56967	3690868
76	57736	3691394
77	58471	3689717
78	59271	3692114
79	59987	3689214
80	60790	3691726
81	61592	3694064
82	62328	3692390
83	63111	3693554
84	63839	3691400
85	64615	3692106
86	65423	3694561
87	66209	3695704
88	66962	3694970
89	67709	3693946
90	68488	3694609
91	69261	3694944
92	70000	3693441
93	70691	3689489
94	71457	3689446
95	72160	3686212
96	72821	3680850
97	73530	3678033
98	74220	3674266
99	75012	3675622
100	75764	3674948
101	76521	3674545
102	77197	3670265
103	77983	3671206
104	78680	3668010
105	79364	3664243
106	80159	3665606
107	80878	3663496
108	81621	3662487
109	82358	3661204
110	83171	3663293
111	84010	3666469
112	84767	3666021
113	85540	3666238
114	86291	3665526
115	87064	3665699
116	87801	3664382
117	88611	3666119
118	89414	3667514
119	90257	3670464
120	91051	3671403
121	91792	3670183
122	92518	3668380
123	93215	3665461
124	93946	3663918
125	94724	3664166
126	95469	3663185
127	96302	3665526
128	96999	3662673
129	97728	3661050
130	98510	3661429
131	99190	3658018
132	99967	3658208
133	100625	3654053
134	101402	3654234
135	102187	3654710
136	103003	3656232
137	103695	3653386
138	104490	3654170
139	105213	3652421
140	105973	3651964
141	106632	3648040
142	107248	3642712
143	107876	3637840
144	108562	3634960
145	109172	3629617
146	109780	3624251
147	110577	3625163
148	111320	3624273
149	112057	3623178
150	112727	3619972
151	113482	3619499
152	114228	3618713
153	114993	3618551
154	115658	3615247
155	116291	3610991
156	116939	3607258
157	117664	3605907
158	118190	3598487
159	118907	3596939
160	119554	3593317
161	120256	3591373
162	120958	3589437
163	121651	3587247
164	122368	3585756
165	123084	3584285
166	123711	3580220
167	124359	3576811
168	124972	3572427
169	125696	3571270
170	126389	3569215
171	127181	3569963
172	127732	3563954
173	128388	3560943
174	129014	3557109
175	129638	3553271
176	130316	3550927
177	131035	3549749
178	131613	3544738
179	132382	3544904
180	132971	3540269
181	133715	3539794
182	134299	3535081
183	135077	3535517
184	135708	3532092
185	136389	3529991
186	137010	3526374
187	137673	3523846
188	138363	3522057
189	139041	3519957
190	139736	3518283
191	140447	3517030
192	141093	3514168
193	141836	3513748
194	142482	3510918
195	143161	3508920
196	143653	3502363
197	144344	3500707
198	145070	3499921
199	145767	3498424
200	146535	3498620
201	147164	3495520
202	147815	3492960
203	148596	3493474
204	149183	3489449
205	149816	3486503
206	150481	3484344
207	151155	3482383
208	151780	3479327
209	152458	3477507
210	153009	3472813
211	153746	3472342
212	154388	3469744
213	155098	3468687
214	155717	3465615
215	156437	3464804
216	157095	3462622
217	157696	3459194
218	158347	3456891
219	158979	3454189
220	159535	3449867
221	160349	3451118
222	161102	3451068
223	161811	3450062
224	162241	3443129
225	162922	3441553
226	163640	3440774
227	164296	3438691
228	164989	3437402
229	165731	3437124
230	166540	3438240
231	167222	3436705
232	167886	3434826
233	168668	3435358
234	169388	3434622
235	170075	3433229
236	170790	3432394
237	171372	3428893
238	172094	3428201
239	172782	3426851
240	173429	3424688
241	174072	3422458
242	174716	3420271
243	175305	3417013
244	176073	3417256
245	176689	3414566
246	177369	3413103
247	178013	3410975
248	178643	3408571
249	179326	3407203
250	180001	3405684
251	180672	3404096
252	181295	3401618
253	181961	3399956
254	182752	3400625
255	183432	3399240
256	184083	3397310
257	184741	3395524
258	185330	3392481
259	186054	3391912
260	186709	3390105
261	187196	3385262
262	187873	3383862
263	188472	3381086
264	189149	3379707
265	189876	3379222
266	190517	3377224
267	191112	3374414
268	191856	3374242
269	192476	3371909
270	193132	3370193
271	193796	3368646
272	194377	3365657
273	194999	3363386
274	195694	3362388
275	196273	3359413
276	196918	3357569
277	197514	3354909
278	198260	3354787
279	199013	3354805
280	199613	3352222
281	200297	3351074
282	201063	3351288
283	201787	3350817
284	202447	3349260
285	203194	3349158
286	203873	3347922
287	204582	3347195
288	205251	3345806
289	205952	3344951
290	206659	3344186
291	207377	3343601
292	208137	3343702
293	208847	3342984
294	209584	3342699
295	210303	3342124
296	211034	3341741
297	211737	3340905
298	212341	3338519
299	212917	3335709
300	213599	3334559
